;;This data is released for wider industry use on embodied carbon mitigation and not for commerical purposes. Price & Myers take no responsibility for the accuracy of the data included. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Excel versions with fully visible data available on request. For any questions please contact Ben Gholam or Will Rogers-Tizard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;CONCRETE GEN1;;;;CONCRETE 20/25;;;;CONCRETE 32/40;;;;CONCRETE 40/50;;;;Steel - Hot Rolled Sections;;;;Steel - Galvanised & Decking;;;;Steel - Reinforcement;;;;Timber, CLT;;;;Timber, Glulam;;;;Timber, Softwood;;;;Single Skin Masonry;;;;Double Skin Masonry;;;;100mm Concrete;;;;140mm Concrete;;;;215mm Concrete;;;;;
Job #;Sector;Type;GIFA (m2);Storeys;Basement;Foundations;Ground Floor;Superstructure;Typical Span (m);Typ Qk (kN_per_m2);Cladding;BREEAM Rating;Quantity (kg);Mix;Value;Total kgC02e;Quantity (kg);Mix;Value;Total kgC02e;Quantity (kg);Mix;Value;Total kgC02e;Quantity (kg);Mix;Value;Total kgC02e;Quantity (kg);Module;Value;Total kgC02e;Quantity (kg);Module;Value;Total kgC02e;Quantity (kg);Module;Value;Total kgC02e;Quantity (kg);Sequestration;Value;Total kgC02e;Quantity (kg);Sequestration;Value;Total kgC02e;Quantity (kg);Sequestration;Value;Total kgC02e;Quantity (m2);Mortar Mix;Value;Total kgC02e;Quantity (m2);Mortar Mix;Value;Total kgC02e;Quantity (m2);Density;Value;Total kgC02e;Quantity (m2);Density;Value;Total kgC02e;Quantity (m2);Density;Value;Total kgC02e;Calculated Total tCO2e;Calculated tCO2e_per_m2
1;Other;New Build (Brownfield);4631;3;None;Piled Ground Beams;Suspended RC;In-Situ RC;7,00;4,00;Masonry + SFS;Unknown;88200;CEMI;0,097;8573,04;0;CEMI;0,121;0;1081200;CEMI;0,150;161639,4;5236800;50% GGBS;0,102;531535,2;13338;Short Term (A-C);1,550;20673,9;0;Short Term (A-C);2,760;0;229010,6362;Short Term (A-C);1,990;455731,166;0;No Carbon Sequestration;0,430;0;0;No Carbon Sequestration;0,510;0;4500;No Carbon Sequestration;0,260;1170;9,37;1:0.5:4.5;38,500;360,745;0;1:1:6;80,000;0;0;Medium Density;15,130;0;3,89;High Density;28,000;108,92;0;High Density;42,610;0;1179,8;0,255
2;Residential;New Build (Brownfield);4640;7;None;Mass Pads/Strips;Suspended RC;CLT Frame;4,00;2,50;Lightweight Only;Unknown;760032;30% PFA;0,144;109064,592;0;CEMI;0,121;0;1831225;30% PFA;0,125;229086,2475;0;CEMI;0,172;0;45841;Short Term (A-C);1,550;71053,55;0;Short Term (A-C);2,760;0;118239;Short Term (A-C);1,990;235295,61;546419;No Carbon Sequestration;0,430;234960,17;4779;No Carbon Sequestration;0,510;2437,29;0;No Carbon Sequestration;0,260;0;0;1:1:6;37,300;0;0;1:1:6;80,000;0;0;Medium Density;15,130;0;0;Medium Density;21,160;0;0;High Density;42,610;0;881,9;0,190
3;Cultural;New Build (Brownfield);742;3;None;Mass Pads/Strips;Suspended RC;Steel Frame, Precast;2,50;4,00;Masonry + SFS;Very Good;206400;CEMI;0,097;20062,08;19680;CEMI;0,121;2379,312;387500;25% GGBS;0,120;46616,25;41349;CEMI;0,172;7120,2978;37483;Short Term (A-C);1,550;58098,65;0;Short Term (A-C);2,760;0;3819;Short Term (A-C);1,990;7599,81;0;No Carbon Sequestration;0,430;0;0;No Carbon Sequestration;0,510;0;29689;No Carbon Sequestration;0,260;7719,14;0;1:1:6;37,300;0;0;1:1:6;80,000;0;0;Medium Density;15,130;0;0;Medium Density;21,160;0;0;High Density;42,610;0;149,6;0,202
4;Residential;New Build (Greenfield);1534;2;Partial Footprint;Raft;Suspended RC;Masonry, Concrete;7,00;2,50;Stone + Masonry;Unknown;449280;50% GGBS;0,092;41243,904;0;CEMI;0,121;0;1400400;50% GGBS;0,089;124355,52;0;CEMI;0,172;0;12948;Short Term (A-C);1,550;20069,4;0;Short Term (A-C);2,760;0;70058;Short Term (A-C);1,990;139415,42;0;No Carbon Sequestration;0,430;0;0;No Carbon Sequestration;0,510;0;15500;No Carbon Sequestration;0,260;4030;117,5;1:0.5:4.5;38,500;4523,75;0;1:1:6;80,000;0;0;Medium Density;15,130;0;2350;High Density;28,000;65800;588;High Density;42,610;25054,68;424,5;0,277
5;Residential;New Build (Brownfield);7284;6;None;Mass Pads/Strips;Ground Bearing RC;In-Situ RC;7,50;2,50;Masonry + SFS;Unknown;0;CEMI;0,097;0;0;CEMI;0,121;0;6445480;50% GGBS;0,089;572358,6348;1614678,9;50% GGBS;0,102;163889,9084;4076,8;Short Term (A-C);1,550;6319,04;24726,68;Short Term (A-C);2,760;68245,6368;535090,281;Short Term (A-C);1,990;1064829,659;0;No Carbon Sequestration;0,430;0;0;No Carbon Sequestration;0,510;0;0;No Carbon Sequestration;0,260;0;435;1:1:6;37,300;16225,5;0;1:1:6;80,000;0;0;Medium Density;15,130;0;0;Medium Density;21,160;0;104;High Density;42,610;4431,44;1896,3;0,260
6;Educational;New Build (Greenfield);4180;5;Partial Footprint;Piles (Pile Caps);Suspended RC;In-Situ RC;4,50;3,00;Stone + Masonry;Unknown;40748;CEMI;0,097;3960,7056;1983062;40% PFA;0,088;173914,5374;5869135;25% GGBS;0,120;706056,9405;0;CEMI;0,172;0;7500;Short Term (A-C);1,550;11625;0;Short Term (A-C);2,760;0;316313;Short Term (A-C);1,990;629462,87;0;No Carbon Sequestration;0,430;0;0;No Carbon Sequestration;0,510;0;18459;No Carbon Sequestration;0,260;4799,34;0;1:1:6;37,300;0;0;1:1:6;80,000;0;0;Medium Density;15,130;0;0;Medium Density;21,160;0;0;High Density;42,610;0;1529,8;0,366
7;Residential;New Build (Brownfield);15145;10;None;Piles (Pile Caps);Suspended RC;In-Situ RC;7,50;2,50;Masonry + SFS;Unknown;300000;CEMI;0,097;29160;0;CEMI;0,121;0;19534045;25% GGBS;0,120;2349945,614;0;CEMI;0,172;0;0;Short Term (A-C);1,550;0;14265;Short Term (A-C);2,760;39371,4;823787,25;Short Term (A-C);1,990;1639336,628;0;No Carbon Sequestration;0,430;0;0;No Carbon Sequestration;0,510;0;0;No Carbon Sequestration;0,260;0;0;1:1:6;37,300;0;0;1:1:6;80,000;0;0;Medium Density;15,130;0;0;Medium Density;21,160;0;0;High Density;42,610;0;4057,8;0,268
8;Residential;New Build (Brownfield);4500;6;None;Piles (Pile Caps);Suspended RC;In-Situ RC;6,50;2,50;Masonry + SFS;Unknown;89950;CEMI;0,097;8743,14;0;CEMI;0,121;0;4431096;15% PFA;0,139;616365,3841;0;CEMI;0,172;0;158;Short Term (A-C);1,550;244,9;0;Short Term (A-C);2,760;0;191903;Short Term (A-C);1,990;381886,97;0;No Carbon Sequestration;0,430;0;0;No Carbon Sequestration;0,510;0;0;No Carbon Sequestration;0,260;0;0;1:1:6;37,300;0;0;1:1:6;80,000;0;0;Medium Density;15,130;0;0;Medium Density;21,160;0;0;High Density;42,610;0;1007,2;0,224
9;Mixed Use;New Build (Brownfield);3900;6;None;Piles (Pile Caps);Suspended RC;In-Situ RC;7,00;2,50;Masonry + SFS;Unknown;61296;CEMI;0,097;5957,9712;0;CEMI;0,121;0;5271906;15% PFA;0,139;733322,1246;0;CEMI;0,172;0;79;Short Term (A-C);1,550;122,45;0;Short Term (A-C);2,760;0;202261;Short Term (A-C);1,990;402499,39;0;No Carbon Sequestration;0,430;0;0;No Carbon Sequestration;0,510;0;0;No Carbon Sequestration;0,260;0;0;1:1:6;37,300;0;0;1:1:6;80,000;0;0;Medium Density;15,130;0;0;Medium Density;21,160;0;0;High Density;42,610;0;1141,9;0,293
10;Educational;New Build (Brownfield);1724;2;None;Piled Ground Beams;Suspended RC;Steel Frame, Composite;4,00;2,50;Masonry + SFS;Very Good;0;CEMI;0,097;0;0;CEMI;0,121;0;1402014;50% GGBS;0,089;124498,8432;0;CEMI;0,172;0;120545;Short Term (A-C);1,550;186844,75;18627;Short Term (A-C);2,760;51410,52;87324;Short Term (A-C);1,990;173774,76;0;No Carbon Sequestration;0,430;0;0;No Carbon Sequestration;0,510;0;760,2;No Carbon Sequestration;0,260;197,652;0;1:1:6;37,300;0;0;1:1:6;80,000;0;0;Medium Density;15,130;0;0;Medium Density;21,160;0;0;High Density;42,610;0;536,7;0,311
11;Commercial;New Build (Brownfield);2772;4;None;Piles (Pile Caps);Suspended RC;Steel Frame, Composite;8,00;3,00;Glazed/Curtain Wall;Unknown;0;CEMI;0,097;0;104879;40% PFA;0,088;9197,8883;1692400;30% PFA;0,125;211719,24;85032;CEMI;0,172;14642,5104;293000;Short Term (A-C);1,550;454150;31780;Short Term (A-C);2,760;87712,8;99800;Short Term (A-C);1,990;198602;0;No Carbon Sequestration;0,430;0;0;No Carbon Sequestration;0,510;0;0;No Carbon Sequestration;0,260;0;0;1:1:6;37,300;0;0;1:1:6;80,000;0;0;Medium Density;15,130;0;0;Medium Density;21,160;0;0;High Density;42,610;0;976,0;0,352
